names,ProfileLinks,topics,citations,titles,delta
Kejin Cui,https://scholar.google.com//citations?hl=en&user=Zj4Rs3sAAAAJ,Geographic Information Science,34,George Mason University,#N/A
Margarita Tadevosyan,https://scholar.google.com//citations?hl=en&user=AuSNqGoAAAAJ,"conflict resolution, peace studies, reconciliation, dialogue",34,"Research Assistant Professor, George Mason University",#N/A
Matthew West,https://scholar.google.com//citations?hl=en&user=-ZGr9wMAAAAJ,"Infrastructures of commodity circulation, economic anthropology and inequality, legal anthropology, piracy and property, patents",33,George Mason University,#N/A
Yimeng Li,https://scholar.google.com//citations?hl=en&user=gOLPBtMAAAAJ,"Embodied AI, Robotics, Computer Vision",33,"Student of Computer Science, George Mason University",#N/A
Christopher M. Fernández,https://scholar.google.com//citations?hl=en&user=RL7b7s0AAAAJ,"conservation ecology, plant-animal interactions, restoration ecology, TEK, agroecology",33,George Mason University,#N/A
Nate Sutton,https://scholar.google.com//citations?hl=en&user=5-UnxssAAAAJ,"computational neuroscience, neuroscience modeling, neural networks",33,George Mason University,#N/A
James Andrews,https://scholar.google.com//citations?hl=en&user=mpmLCGAAAAAJ,"Modeling and Simulation, Molecular Dynamics, Big Data, High Performance Computing",33,George Mason University,#N/A
Andrew Evangelista,https://scholar.google.com//citations?hl=en&user=_b1c_mMAAAAJ,"Nanomaterials, Upconversion, Plasmonic, Microscopy",33,George Mason University,#N/A
Anusha Srirenganathan Malarvizhi,https://scholar.google.com//citations?hl=en&user=vDCNltwAAAAJ,"Remote Sensing, Spatial cloud computing, Geospatial Applications in Environmental …",33,George Mason University,#N/A
Sean Doody,https://scholar.google.com//citations?hl=en&user=p9TbmOkAAAAJ,"Political economy, digital sociology, computational sociology, science & technology, critical realism",33,"PhD Candidate, George Mason University",#N/A
Shay Snyder,https://scholar.google.com//citations?hl=en&user=Uy9ODnIAAAAJ,"neuromorphic computing, evolutionary algorithms",33,"Undergraduate Research Assistant, George Mason University",#N/A
Joshua Owens,https://scholar.google.com//citations?hl=en&user=pCuvH8QAAAAJ,"Public Policy, Policy History, Educational Policy, Higher Education, Education History",32,"Institute for Humane Studies, George Mason University",#N/A
Ismail Nooraddini,https://scholar.google.com//citations?hl=en&user=8aOy5RQAAAAJ,"Sociology, research methods, immigration, and family",32,"George Mason University, University of Maryland Baltimore County, Hood College …",#N/A
Nicholas R. Sherwood,https://scholar.google.com//citations?hl=en&user=tollFJgAAAAJ,"resilience, peacebuilding, peace psychology, conflict resolution, wellbeing",32,George Mason University,#N/A
Anita Tadakamalla,https://scholar.google.com//citations?hl=en&user=vqwjFWIAAAAJ,"Recommender Systems, Decision Support, Optimization, Machine Learning, Public Health",32,"CS PhD Candidate, George Mason University",#N/A
Daniel Gustav Anderson,https://scholar.google.com//citations?hl=en&user=Co5uxVEAAAAJ,"Cultural Studies, Critical Theory, Literature, Ecocriticism, Buddhism",31,George Mason University,#N/A
Prakhar Dogra,https://scholar.google.com//citations?hl=en&user=hUNLUXQAAAAJ,"Sentiment Analysis, Machine Learning, Artificial Intelligence, Recommender Systems",31,"Graduate Student of Computer Science, George Mason University",#N/A
TANMOY CHOWDHURY,https://scholar.google.com//citations?hl=en&user=KvnIBdQAAAAJ,"ML, GNN, CAD, Biometrics, Bioengineering",31,"Ph.D. Student, George Mason University",#N/A
Ji-Jen Hwang,https://scholar.google.com//citations?hl=en&user=hW1LxhUAAAAJ,Cybersecurity Policy,31,Affiliate Faculty at Schar School of Policy and Government at George Mason University,#N/A
Jeffrey Horn,https://scholar.google.com//citations?hl=en&user=Xi4hplsAAAAJ,"economics, public choice economics, experimental economics, behavioral economics, game theory",31,"Economics, George Mason University",#N/A
Sivani Tadepalli,https://scholar.google.com//citations?hl=en&user=3FsWcqIAAAAJ,"Machine Learning, Data Mining, Anomaly Detection, Unsupervised Learning, Deep Learning",31,George Mason University,#N/A
Sajad Kargar,https://scholar.google.com//citations?hl=en&user=RtCQl78AAAAJ,"CFD, Micro/Nano‑fluidics, Machine Learning, HVAC Systems, Transport Phenomena",31,"Ph.D Student in Mechanical Engineering, George Mason University",#N/A
Yamini Ravishankar,https://scholar.google.com//citations?hl=en&user=gTY7t8gAAAAJ,"Cryptography, Hardware architecture",30,"Graduate Teaching Assistant, George Mason University",#N/A
Chengbi Liu,https://scholar.google.com//citations?hl=en&user=6588aJ8AAAAJ,"Social media, GIS, AR",30,George Mason University,#N/A
Mark Snyder,https://scholar.google.com//citations?hl=en&user=jZBTDosAAAAJ,"Type Theory, CS Education",30,"Term Associate Professor of Computer Science, George Mason University",#N/A
Joseph Majdi,https://scholar.google.com//citations?hl=en&user=P_wmWUsAAAAJ,"Image Processing, Signal Processing, Machine Learning, Ultrasound, Brain Computer Interface",30,"Graduate Student, George Mason University",#N/A
Hoang-Dung Bui,https://scholar.google.com//citations?hl=en&user=QgiHGfgAAAAJ,"robotics, machine learning, multi-agent, motion planning",30,George Mason University,#N/A
Farhan Fahim,https://scholar.google.com//citations?hl=en&user=_fmVXhkAAAAJ,"Healthcare Knowledge Discovery, Machine Learning, Prediction Model, Hospital Readmission, Child Health",30,"Doctoral Candidate in Healthcare Informatics, George Mason University",#N/A
Yijue Liang,https://scholar.google.com//citations?hl=en&user=HRORhnAAAAAJ,"occupational well-being, sexual harassment, bystander intervention",30,George Mason University,#N/A
Sara Hadad,https://scholar.google.com//citations?hl=en&user=apPm-tQAAAAJ,"Bioengineering, CFD, Brain Aneurysm, Data analysis",30,Research Assistant @ George Mason University,#N/A
Keil Eggers,https://scholar.google.com//citations?hl=en&user=DrfH8iIAAAAJ,"Peace Studies, Conflict Analysis, Conflict Resolution",29,George Mason University Jimmy and Rosalyn Carter School for Conflict Analysis and …,#N/A
Mohammadreza Torkjazi,https://scholar.google.com//citations?hl=en&user=Z5Bl0GoAAAAJ,"Systems Engineering, System of Systems, Optimization, Data Analytics",29,George Mason University,#N/A
Sharmin Abdullah,https://scholar.google.com//citations?hl=en&user=5_Q7vEIAAAAJ,"Material Science, Photovoltaics, Molecular Dynamics, First Principles Energy Calculation, Atomistic Simulations",29,"Assistant Professor, Computational and Data Sciences, George Mason University",#N/A
Jordan Cohen,https://scholar.google.com//citations?hl=en&user=dMOnvnEAAAAJ,"International security, alliances, arms sales, security assistance",29,George Mason University,#N/A
Maha Shamseddine,https://scholar.google.com//citations?hl=en&user=u4oGELMAAAAJ,"Network security, Machine Learning, Edge Computing, IoT, Software-Defined Networking",28,"Assistant Professor of Computer Science, George Mason University",9
Doug Reitz,https://scholar.google.com//citations?hl=en&user=qwFi5XUAAAAJ,"Atomistic and Molecular Simulation, High Performance Computing (HPC), Monte Carlo Methods, Emergent Quantum Mechanics - SED",28,George Mason University,#N/A
Riley Risteen,https://scholar.google.com//citations?hl=en&user=9JZeI08AAAAJ,"Entomology, Pathogenic Microbiology",28,"Graduate Student, George Mason University",#N/A
Ying Meng,https://scholar.google.com//citations?hl=en&user=nn2pHGcAAAAJ,"Trustworthy Machine Learning, Software Security",28,George Mason University,#N/A
Shahla Jahangard,https://scholar.google.com//citations?hl=en&user=Wk6v9UwAAAAJ,"Survival analysis, Applied statistics, Bayesian statistics, Biostatistics, Statistical Science",28,George Mason University,#N/A
Michael Schader,https://scholar.google.com//citations?hl=en&user=7Nvaj9wAAAAJ,swarm robotics,28,"Ph.D. Student, George Mason University",#N/A
Emre Akmaz,https://scholar.google.com//citations?hl=en&user=wZaL4fMAAAAJ,"Geotechnical Engineering, Geosynthetics",28,George Mason University,#N/A
"John K. Leung, Ph.D.",https://scholar.google.com//citations?hl=en&user=d9CKmAYAAAAJ,Data Sciences,27,George Mason Univeristy,#N/A
Thomas G. Winston,https://scholar.google.com//citations?hl=en&user=Abyn7KUAAAAJ,,27,Asst. Professor GMU,#N/A
Salim Adam Mouloua,https://scholar.google.com//citations?hl=en&user=BbR7GrMAAAAJ,"Human Factors, Neuroergonomics, Modeling and Simulation, Fatigue, Neuroimaging",27,George Mason University,#N/A
Rowland Pitts,https://scholar.google.com//citations?hl=en&user=Jmfh4U8AAAAJ,"Software Engineering, Software Testing, Education",27,George Mason University,#N/A
Hedyeh Mobahi,https://scholar.google.com//citations?hl=en&user=ouWUhaYAAAAJ,"Machine learning, Health informatics",27,George Mason University,#N/A
Taryn Zastrow,https://scholar.google.com//citations?hl=en&user=ts4WktoAAAAJ,,27,George Mason University,#N/A
Maoria J. Kirker,https://scholar.google.com//citations?hl=en&user=qKekgp4AAAAJ,"information literacy, teacher-librarian identity, person-centered management",27,"Teaching & Learning Team Lead, University Libraries, George Mason University",#N/A
Esra OKTAY,https://scholar.google.com//citations?hl=en&user=xl7sokYAAAAJ,"DNA nanotechnology, immunology, vaccine, immunotherapy, DNA origami",27,George Mason University,#N/A
Swabir Silayi,https://scholar.google.com//citations?hl=en&user=Clxn0PUAAAAJ,"High Performance Computing, Comp. Materials Science, Modeling and Simulation, Data Science, Machine Learning",26,"Computational Research Scientist, George Mason University",#N/A
Mohanad ajina,https://scholar.google.com//citations?hl=en&user=jD_MTnMAAAAJ,"Control Theory, Multi-agent Systems, Data",26,George Mason University,#N/A
Margot D. Nelson,https://scholar.google.com//citations?hl=en&user=NLBg0Y4AAAAJ,Vertebrate Paleontology,26,"Graduate Teaching Assistant, George Mason University",#N/A
Massieh Kordi Boroujeny,https://scholar.google.com//citations?hl=en&user=xRv63IcAAAAJ,"Network Calculus, SDN, Available Bandwidth Estimation",26,"PhD Candidate, George Mason University",#N/A
Scott Drinkall,https://scholar.google.com//citations?hl=en&user=m9ih7PQAAAAJ,Public Policy,26,George Mason University,#N/A
Luke Beckwith,https://scholar.google.com//citations?hl=en&user=OfTexFEAAAAJ,"Cryptography, FPGA, Lattice Based Cryptography",26,"PhD Student, George Mason University",#N/A
Yongbo Yu,https://scholar.google.com//citations?hl=en&user=CvT70-cAAAAJ,"computing architecture, GPU acceleration",26,George Mason University,#N/A
Sid Rayaprolu,https://scholar.google.com//citations?hl=en&user=VjGrjJ8AAAAJ,"Transportation Planning, Applied Statistics, Shared Mobility, Data Science",25,PhD Candidate at George Mason University; Geospatial Data Scientist,#N/A
Tareque Mehdi,https://scholar.google.com//citations?hl=en&user=HI1-0QcAAAAJ,"Education, Teaching and Teacher Education, International Education, Leadership, Learning Technology",25,"Ph.D. Candidate (Education), George Mason University",#N/A
MAJIDUR RAHMAN,https://scholar.google.com//citations?hl=en&user=lhnzZu4AAAAJ,"Natural Language Processing, Data Mining, Machine Learning",25,"Computer Science Ph.D. Student, George Mason University",#N/A
Kiyarash Aminfar,https://scholar.google.com//citations?hl=en&user=z-005EYAAAAJ,"Structural Analysis, Numerical Modeling",25,"Department of Civil, Environmental, and Infrastructure Engineering, George Mason …",#N/A
Mahmudul Hassan Ashik,https://scholar.google.com//citations?hl=en&user=jiPa_U0AAAAJ,"Blockchain, IoT, Autonomous Vehicle, 5G, AI",25,"Ph.D. student, Department of Cybersecurity Engineering at George Mason University",#N/A
H.Usama Tanveer,https://scholar.google.com//citations?hl=en&user=Nhorx7QAAAAJ,"Sustainable Desalination, Water Treatment, Drinking Water Chemistry",25,George Mason University,#N/A
Ashish Hingle,https://scholar.google.com//citations?hl=en&user=im6Pn4MAAAAJ,"Engineering Education, Higher Education",25,George Mason University,#N/A
Amir Hossain Raj,https://scholar.google.com//citations?hl=en&user=QpmzDxsAAAAJ,"Deep Learning, Computer Vision, Natural Language Processing, Robotics",25,George Mason University,#N/A
Jon Trevathan,https://scholar.google.com//citations?hl=en&user=_mUfYRAAAAAJ,"Philosophy, Physics, Neuroscience (reconciliation of science and …",25,George Mason University,#N/A
James R Casey II,https://scholar.google.com//citations?hl=en&user=KWfQV_MAAAAJ,"gaming, artificial intelligence, mixed reality, serious games, web3",25,"Assistant Professor of Computer Game Design, George Mason University",#N/A
Sahar Mehrpour,https://scholar.google.com//citations?hl=en&user=-6HSIMMAAAAJ,"Software Engineering, Human-Computer Interaction",24,"Computer Science, George Mason University",#N/A
Negin Asadzadehzanjani,https://scholar.google.com//citations?hl=en&user=QXmDFMcAAAAJ,"Health informatics, Machine Learning",24,George Mason University,#N/A
Hayon Park,https://scholar.google.com//citations?hl=en&user=RsV0qSAAAAAJ,"Art Education, Early Childhood Art Education, Politics, Pedagogy, Aesthetics",24,George Mason University,#N/A
Anne Philpot,https://scholar.google.com//citations?hl=en&user=SBJeUUQAAAAJ,,24,"Legal Research Associate, Mercatus Center at George Mason University",#N/A
Kristina M. Volgenau,https://scholar.google.com//citations?hl=en&user=75H5ZeEAAAAJ,,24,"Clinical Psychology PhD Student, Department of Psychology, George Mason University",#N/A
Qiyang Song,https://scholar.google.com//citations?hl=en&user=Tn7dvoMFbuMC,"Data Privacy, System Security",24,George Mason University; Tsinghua University,#N/A
Md Nishat Raihan,https://scholar.google.com//citations?hl=en&user=pufsZewAAAAJ,"Computer Vision, Machine Learning, Data Mining",24,"CS PhD Student, George Mason University",#N/A
Zhirui Hu,https://scholar.google.com//citations?hl=en&user=N6JrW54AAAAJ,"Quantum Computing, Machine Learning",24,George Mason University,#N/A
Sunil Kumar Rajendran,https://scholar.google.com//citations?hl=en&user=aKYLSvMAAAAJ,"Bio-inspired soft robotics, Learning-based control, Underwater robots, Artificial muscles, Reinforcement learning",23,George Mason University,#N/A
Raihan Islam Arnob,https://scholar.google.com//citations?hl=en&user=Oh3lnZ8AAAAJ,"Machine Learning, Artificial Intelligence, Robotics, Planning",23,"GRA, CS, George Mason University",#N/A
Tianshu Feng,https://scholar.google.com//citations?hl=en&user=Kg8wOK8AAAAJ,,22,George Mason University,#N/A
Huong Dang,https://scholar.google.com//citations?hl=en&user=3VVfcLUAAAAJ,"Natural Language Processing, Machine Learning",22,George Mason University,#N/A
Behnam Momeni,https://scholar.google.com//citations?hl=en&user=Hr92U5UAAAAJ,Optimization,22,"Systems Engineering and Operations Research department, George Mason University",#N/A
Kesina Baral,https://scholar.google.com//citations?hl=en&user=k4HGdg8AAAAJ,"Software testing, software engineering",22,George Mason University,#N/A
Amanda C. Borth,https://scholar.google.com//citations?hl=en&user=M-6aglUAAAAJ,"Climate Change, Communication, Carbon Removal, Deliberation",22,"Department of Communication, George Mason University",#N/A
Daniel Sponseller,https://scholar.google.com//citations?hl=en&user=HmGhAm4AAAAJ,Department of Computational and Data …,21,George Mason University,#N/A
Atabak Mardan,https://scholar.google.com//citations?hl=en&user=6oyskuoAAAAJ,"Transportation Systems, Travel Behavior, Toll and Revenue",21,George Mason University,#N/A
Abhishek Ray,https://scholar.google.com//citations?hl=en&user=Vx-_ifQAAAAJ,"Game Theory, Machine Learning, Artificial Intelligence",21,"Assistant Professor of Information Systems & Operations Management, George Mason …",#N/A
Omid Hashemi-Amiri,https://scholar.google.com//citations?hl=en&user=ueV7YLAAAAAJ,"Operations Research, Mathematical Programming, Supply Chain Management, Transportation",21,"Department of Systems Engineering and Operations Research, George Mason University …",#N/A
Rick Hess,https://scholar.google.com//citations?hl=en&user=-dWMeL0AAAAJ,"Learning Analytics, Big Data, Assessment, Student Success",21,George Mason University,#N/A
Nicholas Gazzia,https://scholar.google.com//citations?hl=en&user=8G_HNWwAAAAJ,"social robotics, human-robot interactions, social cognitive neuroscience",21,George Mason University,#N/A
Priya Anna Mani,https://scholar.google.com//citations?hl=en&user=GYBakMUAAAAJ,,21,George Mason University,#N/A
Nate S. Brophy,https://scholar.google.com//citations?hl=en&user=gtUoTcYAAAAJ,"Communication, Health Communication, Instructional Communication, Quantitative Research Methods",21,George Mason University,#N/A
Alexandra Raines,https://scholar.google.com//citations?hl=en&user=5ATtYDMAAAAJ,Special Education,21,George Mason University,#N/A
Mehrdad Ghyabi,https://scholar.google.com//citations?hl=en&user=wD5ubeUAAAAJ,"Structural Health Monitoring, Smart Cities, Machine Vision, Artificial Intelligence, Deep Learning",21,George Mason University,#N/A
Ahsan Habib Chowdhury,https://scholar.google.com//citations?hl=en&user=IYRldF4AAAAJ,Undergraduate Mathematics Education,21,George Mason University,#N/A
Kevin Ramseur II,https://scholar.google.com//citations?hl=en&user=N11T7iMAAAAJ,"Clinical Psychology, Racism, Public Health",20,George Mason University,#N/A
Hossein Najaf,https://scholar.google.com//citations?hl=en&user=YcIKJtwAAAAJ,"MEMS/NEMS, Nano-Bio Sensors, Mechanics of Materials, Nanotechnology",20,George Mason University,#N/A
Margaret Webb,https://scholar.google.com//citations?hl=en&user=6A5cmo8AAAAJ,"clinical psychology, cognitive psychology, criminology",20,George Mason University,#N/A
Tong Steven Sun,https://scholar.google.com//citations?hl=en&user=Btg0rCAAAAAJ,"Human-Computer Interaction, Machine Learning, Data Mining",20,George Mason University,#N/A
Courtney Hayes,https://scholar.google.com//citations?hl=en&user=Qv4mOxIAAAAJ,"literacy, international education, teacher education, multicultural children's literature",20,George Mason University,#N/A
Adib Sarkar,https://scholar.google.com//citations?hl=en&user=fIKAdY4AAAAJ,Cyber Security,20,George Mason University,#N/A
Binal Brahmbhatt,https://scholar.google.com//citations?hl=en&user=ecaBm5QAAAAJ,Biomedical Imaging,19,George Mason University,#N/A
Joshua D Ammons,https://scholar.google.com//citations?hl=en&user=56mlnG8AAAAJ,"Public Choice, Austrian Economics, Bloomington, Defense and Peace Economics, Development",19,George Mason University,#N/A
Sohyun Park,https://scholar.google.com//citations?hl=en&user=wY4rzjUAAAAJ,"Economic Geography, Land Use Science, Spatial Analytics",19,"Assistant Professor, George Mason University",#N/A
Quentin Sanders,https://scholar.google.com//citations?hl=en&user=I2-zlasAAAAJ,"Soft Robotics, Rehabilitation Robotics, Prosthetics",19,George Mason University,24
David Zeglen,https://scholar.google.com//citations?hl=en&user=V5Q_W4UAAAAJ,,19,George Mason University,#N/A
Zahra Taghizadeh,https://scholar.google.com//citations?hl=en&user=B2JoWwIAAAAJ,"Signal processing, Image Processing, Prosthetic Devices",19,George Mason University,#N/A
Randy Price,https://scholar.google.com//citations?hl=en&user=x1ywHaMAAAAJ,"partial differential equations, data assimilation, machine learning, numerical analysis",19,"Postdoc, George Mason University",#N/A
Christopher D. Berk,https://scholar.google.com//citations?hl=en&user=NIm7HZkAAAAJ,Political Science,18,George Mason University,#N/A
Erik Seglem,https://scholar.google.com//citations?hl=en&user=fQJPVMAAAAAJ,,18,George Mason University,#N/A
Daniel Y. Rothschild,https://scholar.google.com//citations?hl=en&user=AAqVwG4AAAAJ,,18,George Mason University,#N/A
Jessica Pope,https://scholar.google.com//citations?hl=en&user=wEbLHVkAAAAJ,"Fall Prevention, Quality of Life, Public Health, Knowledge Translation, Community Outreach",18,"PhD Student, George Mason University",#N/A
Santos Jha,https://scholar.google.com//citations?hl=en&user=-Ur_n70AAAAJ,"Security, transportation security, autonomous vehicle",18,George Mason University,#N/A
Catyana Falsetti,https://scholar.google.com//citations?hl=en&user=bhcMr3oAAAAJ,sustianaiblity,18,George Mason University,#N/A
Mariam Namawejje,https://scholar.google.com//citations?hl=en&user=QMakX0kAAAAJ,,18,George Mason University,#N/A
David D. Prentiss,https://scholar.google.com//citations?hl=en&user=K3gQ3esAAAAJ,,17,George Mason University,#N/A
Tawnya (Ravy) Azar,https://scholar.google.com//citations?hl=en&user=Ad9JiwkAAAAJ,"Digital Literacy, Digital Pedagogy, Literature, Postcolonial, Digital Humanities",17,George Mason University,#N/A
immanuel Johnson john samuel,https://scholar.google.com//citations?hl=en&user=Rswx0oIAAAAJ,"BIM, AR, Simulation, construction management, construction materials",17,George Mason University,#N/A
James Vizzard,https://scholar.google.com//citations?hl=en&user=fudoUyAAAAAJ,"civil-military relations, counterinsurgency, conflict termination, strategy formulation",17,"PhD student, George Mason University Schar School of Policy and Government",#N/A
Weiwei Tasch,https://scholar.google.com//citations?hl=en&user=5LQbi8IAAAAJ,,17,George Mason University,#N/A
Rachel Jensen,https://scholar.google.com//citations?hl=en&user=jA9qO4IAAAAJ,"mental health and police, developmental disorders and police, intersection of psychology and law, evidence-based practices",17,George Mason University,#N/A
Jixuan Zhi,https://scholar.google.com//citations?hl=en&user=-YLHCtAAAAAJ,"motion planning, robotics, reinforcement learning, computational design, virtual reality",17,George Mason University,#N/A
Roberto López Jr.,https://scholar.google.com//citations?hl=en&user=S-mBIN0AAAAJ,"suicide, self-injury, adolescence, LGBTQ+",17,"Department of Psychology, George Mason University",#N/A
William Cooper,https://scholar.google.com//citations?hl=en&user=YlQbfsYAAAAJ,"Wildlife Ecology, Remote Sensing",17,George Mason University,#N/A
Fatemeh Janatabadi,https://scholar.google.com//citations?hl=en&user=eU-Nq4UAAAAJ,Transport Geography,17,"Graduate Research Assistant, George Mason University",#N/A
Huayu Zhou,https://scholar.google.com//citations?hl=en&user=vT40WWAAAAAJ,"NLP, MachineTranslation, MachineLearning, DataScience",17,George Mason University,#N/A
Leila Saberi,https://scholar.google.com//citations?hl=en&user=YgYAQuEAAAAJ,"Corrosion, Additive Manufacturing, Reliability and mechanics of Failure, Vibration",17,George Mason University,#N/A
Moheb Jabarkhail,https://scholar.google.com//citations?hl=en&user=1FVdvrYAAAAJ,"Human Security, Global Development, Governance",17,George Mason University,#N/A
Kevin E Cevasco,https://scholar.google.com//citations?hl=en&user=4YmI6OEAAAAJ,"Epidemiology, infectious disease, informatics, public health infrastructure",17,"Presidential Scholar, George Mason University",#N/A
Yu-Lin Hsu,https://scholar.google.com//citations?hl=en&user=7efC6aUAAAAJ,"spatial-temporal statistics, bayesian statistics, data visualization, data analysis",17,George Mason University,#N/A
Cecilia B. Barriga Bahamonde,https://scholar.google.com//citations?hl=en&user=QOe_0-MAAAAJ,"Biodiversity conservation, environmental science and policy, ecosystem services, Amazon forest",17,"Ph.D. Candidate, George Mason University",#N/A
DONG LI,https://scholar.google.com//citations?hl=en&user=GSovXD4AAAAJ,"Geosynthetic clay liner (GCL), Modified Bentonite, Molecular Dynamics",17,"Ph.D. Candidate of Geotechnical Engineering, George Mason University",#N/A
John H. Powell,https://scholar.google.com//citations?hl=en&user=YwtdZIEAAAAJ,"hyperspectral, remote sensing, atmopheric physics, meteorology",16,George Mason University,#N/A
Ismail Hossain,https://scholar.google.com//citations?hl=en&user=qz6cpycAAAAJ,"Data Science, Data Mining",16,"Graduate Teaching Assistant, George Mason University",#N/A
Shea Fyffe,https://scholar.google.com//citations?hl=en&user=On888BsAAAAJ,"applied psychometrics, noncognitive assessment, game-based assessment, personality, natural language processing",16,"Doctoral Candidate (ABD), George Mason University",#N/A
Michelle Lague,https://scholar.google.com//citations?hl=en&user=KEnENG8AAAAJ,"Education, teaching, adolescent literacy, English instruction, secondary education",16,George Mason University,#N/A
Elaine Russell,https://scholar.google.com//citations?hl=en&user=vvdDpSgAAAAJ,"Diabetes, inflammation, autoimmune disorders",16,"Adjunct faculty, George Mason University",#N/A
Lauren N. McCarthy,https://scholar.google.com//citations?hl=en&user=EH8wTjsAAAAJ,"Public-Private Partnerships, Emerging Technologies, Smart Cities",15,George Mason University,#N/A
Lisa Schreffler,https://scholar.google.com//citations?hl=en&user=dZCPxeIAAAAJ,"Conservation Biology, Bioacoustics, Foraging Ecology, Thermoregulation",15,George Mason University,#N/A
Xiaowen Fang,https://scholar.google.com//citations?hl=en&user=J82ByKsAAAAJ,"Machine Learning, Computer Vision",15,George Mason University,#N/A
Niloofar Kalantari,https://scholar.google.com//citations?hl=en&user=GC2UXt8AAAAJ,"HCI, Social Computing",15,George Mason University,#N/A
Abhishek Paudel,https://scholar.google.com//citations?hl=en&user=ytDltfUAAAAJ,"Machine Learning, Robotics, Planning under Uncertainty",15,"CS Grad Student, George Mason University",#N/A
Rajendra Paudyal,https://scholar.google.com//citations?hl=en&user=TQTXsrMAAAAJ,"Computer Networks, Next Generation Network, Security, Cybersecurity & Wireless Communication",15,George Mason University,#N/A
Arnab Debnath,https://scholar.google.com//citations?hl=en&user=9horFbwAAAAJ,"Computer Vision, Robotics",15,George Mason University,#N/A
Tugkan Tanir,https://scholar.google.com//citations?hl=en&user=woRv_4sAAAAJ,"Water Resources, Risk Assessment, Flood Vulnerability",15,George Mason University,#N/A
Matthew Willis,https://scholar.google.com//citations?hl=en&user=KKyalxoAAAAJ,Computational Sociology,15,George Mason University,#N/A
Temiloluwa Fuwape,https://scholar.google.com//citations?hl=en&user=zKC7GhUAAAAJ,Public Health,15,George Mason University,#N/A
Zhenlong Jiang,https://scholar.google.com//citations?hl=en&user=2iZ_j3kAAAAJ,Distributionally robust optimization,15,George Mason University,#N/A
Nicole Stucke,https://scholar.google.com//citations?hl=en&user=FPoWwLoAAAAJ,"executive function, social cognition, cognitive control, meta-analysis, self-awareness",15,"PhD Student, George Mason University",#N/A
Clarence W. Dillon,https://scholar.google.com//citations?hl=en&user=J6Vk2JkAAAAJ,"International Relations, Conflict Analysis, Computational Social Science, Critical Realism",14,George Mason University,#N/A
Hardik Patel,https://scholar.google.com//citations?hl=en&user=wURTZ58AAAAJ,"Graph Data, Search Algorithms, Machine Learning, Deep Learning, Cognitive Systems",14,George Mason University,#N/A
Yongxin Wang,https://scholar.google.com//citations?hl=en&user=r_6G7YIAAAAJ,"computer vision, safety analysis, autonomous driving",14,George Mason University,#N/A
Md Rashedur Rahman,https://scholar.google.com//citations?hl=en&user=V_BsahgAAAAJ,"IoT, Cyber-security, Machine Learning, Wireless Network",14,Ph.D. Student in George Mason University,#N/A
Cheyu Zhang,https://scholar.google.com//citations?hl=en&user=eKX2QQwAAAAJ,"HIV prevention, Sexual minority health, Intimate partner violence, PMTCT",14,"George Mason University, The George Washington University",#N/A
Morgan Bragg,https://scholar.google.com//citations?hl=en&user=8pVvw7oAAAAJ,"Biology, Canid Conservation, Microbial Ecology",14,George Mason University/Smithsonian Conservation Biology Institute,#N/A
Saadat Hasan Khan,https://scholar.google.com//citations?hl=en&user=rJOY1YoAAAAJ,"Machine Learning, Deep Learning, Computer Vision",14,George Mason University,#N/A
Jahnavi Jonnalagadda,https://scholar.google.com//citations?hl=en&user=Plc7UtgAAAAJ,"Spatial-Temporal Data Prediction, Machine Learning",14,George Mason University,#N/A
Olugbemi M. Aroke,https://scholar.google.com//citations?hl=en&user=dZ1ngUgAAAAJ,"Smart Construction Safety, Wearable sensors, Hazard Identification, Transportation Safety",14,George Mason University,#N/A
Eugenio Garza,https://scholar.google.com//citations?hl=en&user=Z3DrjxIAAAAJ,"Markets and Morality, Development, Culture and Institutions, Poverty and Inequality, Economic Sociology",14,George Mason University,#N/A
Earl A Jones,https://scholar.google.com//citations?hl=en&user=yOIwbFMAAAAJ,"Higher Education Marketing, Intrusive & Pro Active Academic Advising",14,George Mason University,#N/A
Zhiyan Gao,https://scholar.google.com//citations?hl=en&user=gLdEBQoAAAAJ,Linguistics,13,ByteDance Ltd | George Mason University|,#N/A
CJ Carroll Schlick,https://scholar.google.com//citations?hl=en&user=fBj2VFcAAAAJ,"Fish Ecology, Anadromous, Fisheries Management",13,George Mason University,#N/A
Alison Gomeiz,https://scholar.google.com//citations?hl=en&user=IiCFj7gAAAAJ,"molecular biology, oncology, biophysics",13,George Mason University,#N/A
Sasha Stoddard,https://scholar.google.com//citations?hl=en&user=ptvcPgkAAAAJ,,13,George Mason University,#N/A
Bader A. Alharbi,https://scholar.google.com//citations?hl=en&user=1kiTne0AAAAJ,"Bioinformatics, Computational Biology",12,"KAIMRC-NGHA, George Mason University",#N/A
Stephanie Grimm,https://scholar.google.com//citations?hl=en&user=rkIjaN0AAAAJ,"Library Science, Preservation, Illustration",12,George Mason University,#N/A
Hussain Almalki,https://scholar.google.com//citations?hl=en&user=SxU889IAAAAJ,"phonetics, phonology, prosody, second language acquisition",12,George Mason University,#N/A
Bryan Hoyle,https://scholar.google.com//citations?hl=en&user=y38yWw4AAAAJ,"Artificial intelligence, Programming Languages, Machine Learning",12,"Graduate Student CS, George Mason University; Senior Research Scientist at Two Six Labs",#N/A
